Chem_Name,CASno,SMILES,Molecular_formula
"cis-1,2-Dichloroethylene",156-59-2,C(=CCl)Cl,C2H2Cl2
"Cis-1,3-dichloropropene",10061-01-5,C(C=CCl)Cl,C3H4Cl2
"Cobalt, elemental",7440-48-4,[Co],Co
"Copper, Elemental",7440-50-8,[Cu],Cu
Crotonaldehyde,4170-30-3,CC=CC=O,C4H6O
Cumene hydroperoxide,80-15-9,CC(C)(C1=CC=CC=C1)OO,C9H12O2
Cyanamide,420-04-2,C(#N)N,CH2N2
Cyanogen,460-19-5,C(#N)C#N,C2N2
Cyanogen Bromide,506-68-3,C(#N)Br,CBrN
Cyanogen Iodide,506-78-5,C(#N)I,CIN
Cyanuric Fluoride,675-14-9,C1(=NC(=NC(=N1)F)F)F,C3F3N3
Cyclobutane,287-23-0,C1CCC1,C4H8
Cycloheptane,291-64-5,C1CCCCCC1,C7H14
Cyclohexane,110-82-7,C1CCCCC1,C6H12
Cyclohexanol,108-93-0,C1CCC(CC1)O,C6H12O
Cyclohexanone,108-94-1,C1CCC(=O)CC1,C6H10O
Cyclohexanone Peroxide,78-18-2,C1CCC(CC1)(O)OOC2(CCCCC2)OO,C12H22O5
Cyclohexene,110-83-8,C1CCC=CC1,C6H10
Cyclohexylamine,108-91-8,C1CCC(CC1)N,C6H13N
Cyclonite,121-82-4,C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C3H6N6O6
Cyclopentane,287-92-3,C1CCCC1,C5H10
Cyclopropane,75-19-4,C1CC1,C3H6
DDD,72-54-8,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,C14H10Cl4
Ddt,50-29-3,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,C14H9Cl5
Decaborane,17702-41-9,[B][B][B][B][B][B][B][B][B][B],B10
delta-Hexachlorocyclohexane,319-86-8,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,C6H6Cl6
Diazinon,333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,C12H21N2O3PS
Diborane,19287-45-7,B#B,B2
Dibromomethane,74-95-3,C(Br)Br,CH2Br2
Dibutyl Phthalate,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,C16H22O4
Dichlorodifluoromethane,75-71-8,C(F)(F)(Cl)Cl,CCl2F2
Dichloromethane,1975-09-02,C(Cl)Cl,CH2Cl2
Dichlorvos,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,C4H7Cl2O4P
Dicobalt octacarbonyl,10210-68-1,[CH-]=O.[CH-]=O.[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co].[Co+2],C8H2Co2O8
Dicrotophos,141-66-2,CC(=CC(=O)N(C)C)OP(=O)(OC)OC,C8H16NO5P
Dicyclopentadiene,77-73-6,C1C=CC2C1C3CC2C=C3,C10H12
Dieldrin,60-57-1,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,C12H8Cl6O
Diethyl Ether,60-29-7,CCOCC,C4H10O
Diethyl Zinc,557-20-0,C[CH2-].C[CH2-].[Zn+2],C4H10Zn
Diethylamine,109-89-7,CCNCC,C4H11N
Diisopropylamine,108-18-9,CC(C)NC(C)C,C6H15N
Dimethoate,60-51-5,CNC(=O)CSP(=S)(OC)OC,C5H12NO3PS2
Dimethyl Ether,115-10-6,COC,C2H6O
Dimethyl Sulfate,77-78-1,COS(=O)(=O)OC,C2H6O4S
Dimethyl Sulfoxide,67-68-5,CS(=O)C,C2H6OS
Dimethylamine,124-40-3,CNC,C2H7N
Diphosgene,503-38-8,C(=O)(OC(Cl)(Cl)Cl)Cl,C2Cl4O2
Dipropyl Ether,111-43-3,CCCOCCC,C6H14O
Dipropylamine,142-84-7,CCCNCCC,C6H15N
Disulfoton,298-04-4,CCOP(=S)(OCC)SCCSCC,C8H19O2PS3
d-methamphetamine,537-46-2,CC(CC1=CC=CC=C1)NC,C10H15N
Endosulfan,115-29-7,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,C9H6Cl6O3S
Endrin,72-20-8,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,C12H8Cl6O
Epichlorohydrin,106-89-8,C1C(O1)CCl,C3H5ClO
Ethane,74-84-0,CC,C2H6
Ethanol,64-17-5,CCO,C2H6O
Ethion,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,C9H22O4P2S4
Ethyl Acetate,141-78-6,CCOC(=O)C,C4H8O2
Ethyl Chloride,75-00-3,CCCl,C2H5Cl
Ethyl Mercaptan,1975-08-01,CCS,C2H6S
Ethyl Methyl Ether,540-67-0,CCOC,C3H8O
Ethyl Nitrate,625-58-1,CCO[N+](=O)[O-],C2H5NO3
Ethyl Nitrite,109-95-5,CCON=O,C2H5NO2
Ethylaluminum Sesquichloride,12075-68-2,CC[Al](CC)Cl.CC[Al](Cl)Cl,C6H15Al2Cl3
Ethylamine,1975-04-07,CCN,C2H7N
Ethylbenzene,100-41-4,CCC1=CC=CC=C1,C8H10
Ethylene,74-85-1,C=C,C2H4
Ethylene dibromide,106-93-4,C(CBr)Br,C2H4Br2
Ethylene Glycol,107-21-1,C(CO)O,C2H6O2
Ethylene Glycol Diethyl Ether,629-14-1,CCOCCOCC,C6H14O2
Ethylene Glycol Mono-N-butyl Ether,111-76-2,CCCCOCCO,C6H14O2
