ChemicalName,MACCSKey,Relationship
"1,3-Dioxolane",maccs028,hasKey
"1,3-Dioxolane",maccs057,hasKey
"1,3-Dioxolane",maccs072,hasKey
"1,3-Dioxolane",maccs083,hasKey
"1,3-Dioxolane",maccs086,hasKey
"1,3-Dioxolane",maccs096,hasKey
"1,3-Dioxolane",maccs109,hasKey
"1,3-Dioxolane",maccs118,hasKey
"1,3-Dioxolane",maccs120,hasKey
"1,3-Dioxolane",maccs123,hasKey
"1,3-Dioxolane",maccs129,hasKey
"1,3-Dioxolane",maccs132,hasKey
"1,3-Dioxolane",maccs137,hasKey
"1,3-Dioxolane",maccs138,hasKey
"1,3-Dioxolane",maccs147,hasKey
"1,3-Dioxolane",maccs153,hasKey
"1,3-Dioxolane",maccs157,hasKey
"1,3-Dioxolane",maccs159,hasKey
"1,3-Dioxolane",maccs164,hasKey
"1,3-Dioxolane",maccs165,hasKey
"1,3-Pentadiene",maccs034,hasKey
"1,3-Pentadiene",maccs099,hasKey
"1,3-Pentadiene",maccs160,hasKey
"1,4-Benzoquinone",maccs099,hasKey
"1,4-Benzoquinone",maccs127,hasKey
"1,4-Benzoquinone",maccs136,hasKey
"1,4-Benzoquinone",maccs143,hasKey
"1,4-Benzoquinone",maccs152,hasKey
"1,4-Benzoquinone",maccs154,hasKey
"1,4-Benzoquinone",maccs159,hasKey
"1,4-Benzoquinone",maccs163,hasKey
"1,4-Benzoquinone",maccs164,hasKey
"1,4-Benzoquinone",maccs165,hasKey
"1,4-Dioxane",maccs057,hasKey
"1,4-Dioxane",maccs072,hasKey
"1,4-Dioxane",maccs086,hasKey
"1,4-Dioxane",maccs098,hasKey
"1,4-Dioxane",maccs109,hasKey
"1,4-Dioxane",maccs118,hasKey
"1,4-Dioxane",maccs120,hasKey
"1,4-Dioxane",maccs128,hasKey
"1,4-Dioxane",maccs129,hasKey
"1,4-Dioxane",maccs132,hasKey
"1,4-Dioxane",maccs137,hasKey
"1,4-Dioxane",maccs138,hasKey
"1,4-Dioxane",maccs147,hasKey
"1,4-Dioxane",maccs153,hasKey
"1,4-Dioxane",maccs157,hasKey
"1,4-Dioxane",maccs159,hasKey
"1,4-Dioxane",maccs163,hasKey
"1,4-Dioxane",maccs164,hasKey
"1,4-Dioxane",maccs165,hasKey
1-Butene,maccs034,hasKey
1-Butene,maccs099,hasKey
1-Butene,maccs114,hasKey
1-Butene,maccs155,hasKey
1-Butene,maccs160,hasKey
1-Butyl Mercaptan,maccs082,hasKey
1-Butyl Mercaptan,maccs088,hasKey
1-Butyl Mercaptan,maccs090,hasKey
1-Butyl Mercaptan,maccs104,hasKey
1-Butyl Mercaptan,maccs114,hasKey
1-Butyl Mercaptan,maccs115,hasKey
1-Butyl Mercaptan,maccs116,hasKey
1-Butyl Mercaptan,maccs118,hasKey
1-Butyl Mercaptan,maccs147,hasKey
1-Butyl Mercaptan,maccs153,hasKey
1-Butyl Mercaptan,maccs155,hasKey
1-Butyl Mercaptan,maccs160,hasKey
1-Chloro-2-propanone,maccs103,hasKey
1-Chloro-2-propanone,maccs115,hasKey
1-Chloro-2-propanone,maccs132,hasKey
1-Chloro-2-propanone,maccs134,hasKey
1-Chloro-2-propanone,maccs152,hasKey
1-Chloro-2-propanone,maccs153,hasKey
1-Chloro-2-propanone,maccs154,hasKey
1-Chloro-2-propanone,maccs155,hasKey
1-Chloro-2-propanone,maccs160,hasKey
1-Chloro-2-propanone,maccs164,hasKey
1-Hexanol,maccs082,hasKey
1-Hexanol,maccs090,hasKey
1-Hexanol,maccs091,hasKey
1-Hexanol,maccs104,hasKey
1-Hexanol,maccs108,hasKey
1-Hexanol,maccs109,hasKey
1-Hexanol,maccs114,hasKey
1-Hexanol,maccs115,hasKey
1-Hexanol,maccs116,hasKey
1-Hexanol,maccs118,hasKey
1-Hexanol,maccs128,hasKey
1-Hexanol,maccs129,hasKey
1-Hexanol,maccs132,hasKey
1-Hexanol,maccs139,hasKey
1-Hexanol,maccs147,hasKey
1-Hexanol,maccs153,hasKey
1-Hexanol,maccs155,hasKey
1-Hexanol,maccs157,hasKey
1-Hexanol,maccs160,hasKey
1-Hexanol,maccs164,hasKey
1-Methylnaphthalene,maccs101,hasKey
1-Methylnaphthalene,maccs105,hasKey
1-Methylnaphthalene,maccs125,hasKey
1-Methylnaphthalene,maccs145,hasKey
1-Methylnaphthalene,maccs160,hasKey
1-Methylnaphthalene,maccs162,hasKey
1-Methylnaphthalene,maccs163,hasKey
1-Methylnaphthalene,maccs165,hasKey
"2,2-Dimethylbutane",maccs066,hasKey
"2,2-Dimethylbutane",maccs074,hasKey
"2,2-Dimethylbutane",maccs112,hasKey
"2,2-Dimethylbutane",maccs114,hasKey
"2,2-Dimethylbutane",maccs115,hasKey
"2,2-Dimethylbutane",maccs141,hasKey
"2,2-Dimethylbutane",maccs149,hasKey
"2,2-Dimethylbutane",maccs155,hasKey
"2,2-Dimethylbutane",maccs160,hasKey
"2,2-Dimethylpropane",maccs066,hasKey
"2,2-Dimethylpropane",maccs074,hasKey
"2,2-Dimethylpropane",maccs112,hasKey
"2,2-Dimethylpropane",maccs141,hasKey
"2,2-Dimethylpropane",maccs149,hasKey
"2,2-Dimethylpropane",maccs160,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs057,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs072,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs087,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs098,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs101,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs103,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs105,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs107,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs113,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs120,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs125,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs134,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs137,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs144,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs145,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs150,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs152,hasKey
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",maccs157,hasKey
